undermind_id,Topic Match Score,Title,Year,Date,Authors,Abstract,Journal,Citation Count,Citation Velocity,DOI,Link,External IDs,Is Open Access,Open Access Link,Semantic Scholar ID,Relevance Summary
1,100,Research on Cybercrime Prevention and Control Strategies Based on K-means++ and PSO Algorithm,2025,,"Jiaxing Lv, Yu Ji, Jianli Zhang",": This paper focuses on the field of cybercrime, analysing its global pattern and the effectiveness of policy responses through a multimethod approach. The World Cybercrime Index (WCI) is constructed with the help of experts' experience, which reveals the characteristics of the global cybercrime risk distribution, i.e. Europe and North America have a high prevalence of cybercrime, followed by Asia, and South America and Africa have a low prevalence of cybercrime. The K-means++ clustering algorithm is used to classify the risk of 97 countries/regions, and the results match the actual distribution. In the research of policy effectiveness, we constructed a performance score index and found that there is a mutually reinforcing relationship between cybercrime risk and the level of cybersecurity construction; we defined the security index S, and constructed a regression model by combining the political data and legal density of the ITU, and concluded that the legal measures are the most effective in improving the security index. The particle swarm optimisation algorithm is used to explore the optimal political scenarios, provide decision-making reference for legislators, and analyse the reasons for the differences in legal density, and the research results have important reference value for the formulation of global cybercrime prevention and control policies.",Journal of Electronics and Information Science,0,0,10.23977/jeis.2025.100106,https://doi.org/10.23977/jeis.2025.100106,,FALSE,,6348b1e4efec38e283abf9a6cf543106328e1d92,"- **Provides global cybercrime prevalence metrics and evaluates countermeasure effectiveness using algorithms.**  
- Constructs the World Cybercrime Index (WCI) to analyze global risk patterns and develops a security index (S) to assess policy impacts.  
- Focuses on general cybercrime trends and legal intervention efficacy, but leans heavily on national-level patterns rather than all types of cybercrime.  "
2,81.8,Victims of cybercrime in Europe: a review of victim surveys,2018,04/04/2018,"C. M. M. Reep-van den Bergh, M. Junger","Review the evidence provided by victim surveys in order to provide a rough estimate of the personal crime prevalence of the main types of cybercrime. We performed a search in databases, searched online, and contacted several Offices for National Statistics in Europe and selected surveys that provided information about individual victims of crime which were representative for a general population. Six types of cybercrime have been distinguished, namely online shopping fraud, online fraud banking/payment, other cyber fraud (such as advanced fee fraud), cyber threats/harassment, malware, and hacking. For every survey the questions on cybercrime are presented and the crime prevalence estimates are compared. Nine surveys were included. Annual crime prevalence rates ranged from 1 to 3% for online shopping fraud, from less than 1 to 2% for online banking/payment fraud. Less than 1% of the population is a victim of other types of fraud and a maximum of 3% of the population experiences some sort of online bullying such as stalking (1%) or threatening (1%). 1–6% is a victim of hacking. The estimates for being a victim of malware range from 2 to 15%. For all offences it cannot be estimated how much of the differences are due to variation in methods and questioning between the studies or real differences between countries or change over time. As yet there have been very few well performed randomised sampled studies on cybercrime amongst the general population. Cybercrime prevalence (and its trend) can only be well measured if the questions are frequently updated and adequately address new aspects of cybercrime. To adequately monitor cybercrime in the future it is advisable to develop some fairly abstract main categories that are of durable validity, whilst allowing for up-to-date illustrations. Furthermore, ideally the questioning in the ongoing surveys in the different countries should be standardised and there should be a uniform categorisation of the different cyber offences. A screening question in order to permit more accurate dating is essential to reduce telescoping bias. Surveys should ask about the impact on or damage to the victims.",Crime Science,74,10.6,10.1186/s40163-018-0079-3,https://doi.org/10.1186/s40163-018-0079-3,,TRUE,"{'url': 'https://crimesciencejournal.biomedcentral.com/track/pdf/10.1186/s40163-018-0079-3', 'status': 'GOLD'}",a24884fe677e78fe21c94fdac33bc654f79af12d,"- **Provides prevalence estimates for specific types of cybercrime using victim surveys.**  
- Surveys cover six cybercrime types, offering annual prevalence rates (e.g., hacking 1–6%, malware 2–15%) using population-level data.  
- Focuses on specific cybercrime types rather than generalizable metrics or cross-type frameworks; does not assess countermeasure effectiveness."
3,81,Enhancing the effectiveness of cybercrime prevention through policy monitoring,2019,20/10/2019,Benoît Dupont,"ABSTRACT This article examines the feasibility of designing and implementing a cybercrime prevention monitoring approach to enhance the quality of knowledge about policies that aim to reduce the prevalence and impact of online harms. Despite very significant investments made by governments over the past decade to improve the cybersecurity of publicly and privately-operated computer systems, there is very limited systematic knowledge about what cybercrime prevention policies have been adopted in various parts of the world and even less knowledge about their effectiveness in reducing the exposure of individuals and organizations to cybercrime. Borrowing from the policy monitoring (or policy surveillance) methodology that was developed in a broad range of fields such as public health and education, this article argues that such an approach would be critical in advancing our understanding of what is being done to control cybercrime, what works, what doesn’t, and what is promising. This article provides an overview of the principles and benefits of the policy monitoring approach, reviews the main features of a sample of 18 policy monitoring platforms, assesses a dozen cybersecurity policy rating initiatives—concluding that very few of them include cybercrime in their framework, then provides a template for the creation of a dedicated cybercrime prevention monitoring tool that would benefit academics, policy-makers and practitioners.",Journal of Crime and Justice,17,3.1,10.1080/0735648x.2019.1691855,https://doi.org/10.1080/0735648x.2019.1691855,,FALSE,,94055228e65041e4b62dbddcb885c79335deafb3,"- **Provides a framework for monitoring cybercrime prevention policies globally.**  
- Focuses on policy effectiveness in reducing cybercrime exposure, emphasizing systematic evaluation methods like policy surveillance.  
- Does not directly address specific metrics for cybercrime prevalence or countermeasures applicable across all types of cybercrime."
4,79.4,Mapping the global geography of cybercrime with the World Cybercrime Index,2024,10/04/2024,"Miranda Bruce, Jonathan Lusthaus, Ridhi Kashyap, Nigel Phair, Federico Varese","Cybercrime is a major challenge facing the world, with estimated costs ranging from the hundreds of millions to the trillions. Despite the threat it poses, cybercrime is somewhat an invisible phenomenon. In carrying out their virtual attacks, offenders often mask their physical locations by hiding behind online nicknames and technical protections. This means technical data are not well suited to establishing the true location of offenders and scholarly knowledge of cybercrime geography is limited. This paper proposes a solution: an expert survey. From March to October 2021 we invited leading experts in cybercrime intelligence/investigations from across the world to participate in an anonymized online survey on the geographical location of cybercrime offenders. The survey asked participants to consider five major categories of cybercrime, nominate the countries that they consider to be the most significant sources of each of these types of cybercrimes, and then rank each nominated country according to the impact, professionalism, and technical skill of its offenders. The outcome of the survey is the World Cybercrime Index, a global metric of cybercriminality organised around five types of cybercrime. The results indicate that a relatively small number of countries house the greatest cybercriminal threats. These findings partially remove the veil of anonymity around cybercriminal offenders, may aid law enforcement and policymakers in fighting this threat, and contribute to the study of cybercrime as a local phenomenon.",PLOS ONE,13,13.3,10.1371/journal.pone.0297312,https://doi.org/10.1371/journal.pone.0297312,,TRUE,"{'url': 'https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0297312&type=printable', 'status': 'GOLD'}",a746f98a53072d8a8758dd11aa53951b7320ffdd,"- Provides a global metric for cybercriminal activity by geography.  
- Develops the World Cybercrime Index based on expert surveys across five major types of cybercrime, ranking countries by threats.  
- Focuses on geographical prevalence but lacks metrics for evaluating countermeasure effectiveness, limiting relevance to the full researcher's topic.  "
5,75.9,Pattern Analysis of Cyber Crime Incidents to Predict Occurrence and Selection of The Best Technology to Prevent IT,2024,08/11/2024,"Sudhesh Kumar, Prof. Dr. Minni Sinha","Cybercrime has become a significant global threat, affecting individuals, organizations, and governments alike. This research paper focuses on the pattern analysis of cyber crime incidents and aims to develop a predictive model to forecast its occurrence while selecting the most effective technology for prevention. Through an extensive literature review, we analyze existing research on cybercrime patterns, predictive modeling, and technologies for prevention. The study identifies the gaps in the current literature, emphasizing the need for a comprehensive approach that combines data-driven analysis with advanced cybersecurity technologies. The research methodology encompasses data collection from diverse sources, followed by rigorous data preprocessing and cleaning to ensure data quality. Machine learning algorithms and statistical methods are utilized for developing the predictive model. Evaluation metrics are employed to measure the model's performance and its ability to predict cybercrime incidents accurately. The pattern analysis of cybercrime incidents reveals various attack vectors, target sectors, and geographical distributions, providing crucial insights into the modus operandi of cybercriminals. This analysis forms the basis for building the predictive model, which can assist law enforcement agencies and cybersecurity professionals in anticipating and preventing cybercrime effectively. The findings of this research contribute significantly to the field of cybercrime prevention. The developed predictive model enhances early warning capabilities, enabling proactive measures against cyber threats. Additionally, the technology selection framework assists organizations in making informed decisions regarding cybersecurity investments.","International Journal of Scientific Research in Computer Science, Engineering and Information Technology",0,0,10.32628/cseit241061104,https://doi.org/10.32628/cseit241061104,,TRUE,"{'url': 'https://ijsrcseit.com/index.php/home/article/download/CSEIT241061104/CSEIT241061104', 'status': 'GOLD'}",38fb894ba60533ad60d960735ad081883404475a,#NAME?
6,71.2,A Large-Scale Measurement of Cybercrime Against Individuals,2022,27/04/2022,"Casey F. Breen, Cormac Herley, Elissa M. Redmiles","We know surprisingly little about the prevalence and severity of cybercrime in the U.S. Yet, in order to prioritize the development and distribution of advice and technology to protect end users, we require empirical evidence regarding cybercrime. Measuring crime, including cybercrime, is a challenging problem that relies on a combination of direct crime reports to the government – which have known issues of under-reporting – and assessment via carefully-designed self-report surveys. We report on the first large-scale, nationally representative academic survey (n=11,953) of consumer cybercrime experiences in the U.S. Our analysis answers four research questions: (1) What is the prevalence and (2) the monetary impact of these cybercrimes we measure in the U.S.?, (3) Do inequities exist in victimization?, and (4) Can we improve cybercrime measurement by leveraging social-reporting techniques used to measure physical crime? Our analysis also offers insight toward improving future measurement of cybercrime and protecting users.",Proceedings of the 2022 CHI Conference on Human Factors in Computing Systems,18,6.1,10.1145/3491102.3517613,https://doi.org/10.1145/3491102.3517613,,TRUE,"{'url': 'https://dl.acm.org/doi/pdf/10.1145/3491102.3517613', 'status': 'GOLD'}",9e6df22067847e8f8be120ff758113eb3749d79e,"- **Provides empirical data on consumer cybercrime prevalence and monetary impact.**  
- Explores inequities in victimization and evaluates social-reporting techniques for improved cybercrime measurement through a large U.S. survey.  
- Focuses on prevalence metrics, but lacks discussion on countermeasure effectiveness or cross-type cybercrime generalizability, making it somewhat related.  "
7,70.9,Evolving Legal Responses to Cybercrime: Bridging Regulatory Gaps in the Digital Age,2024,10/10/2024,,"This research examines the law enforcement response to cybercrime from 2020 to 2024, focusing on its trends, growth, and regional regulatory gaps. A mixed-methods approach was adopted, analyzing twenty research papers and legislative frameworks in countries like Russia, Bulgaria, Croatia, and Brazil through analytical and comparative legal methods. Findings reveal that only 23% of regions have implemented modern cybercrime regulations, with most still relying on outdated laws from the 1970s. From 2007 to 2013, approximately seven million cyber offenses led to 900,000 investigations. The study identified six significant gaps in current systems, highlighting the correlation between updated legislation and enforcement success. Regions with modern cybercrime laws saw a 45% increase in prosecution rates compared to those without. The research also introduces a classification system for cybercrimes into seven categories (CC 01 to CC 07). Additionally, it explores the role of blockchain technology in cybercrime prosecution, noting a 34% improvement in tracking cryptocurrency-related offenses in regions utilizing blockchain forensic techniques. These findings underscore the urgent need for comprehensive legal updates and technological integration to enhance global cybercrime enforcement efforts.",Pakistan Journal of Criminology,0,0,10.62271/pjc.16.4.1199.1213,https://doi.org/10.62271/pjc.16.4.1199.1213,,FALSE,,64103739753f75c4f9e8c758b6a0f2ccec8608f8,"- **Provides** insight into how updated legal frameworks impact cybercrime prosecution.  
- **Explains** that modern laws increase prosecution rates by 45% and blockchain aids in tracking cryptocurrency-related offenses by 34%.  
- **Does not address** prevalence metrics or countermeasure effectiveness across all cybercrime types, focusing instead on legal enforcement gaps and trends.  "
8,62.8,Reviewing Estimates of Cybercrime Victimisation and Cyber Risk Likelihood,2022,01/06/2022,"Daniel W. Woods, Lukas Walter","Across both the public and private sector, cyberse-curity decisions could be informed by estimates of the likelihood of different types of exploitation and the corresponding harms. Law enforcement should focus on investigating and disrupting those cybercrimes that are relatively more frequent, all else being equal. Similarly, firms should account for the likelihood of different forms of cyber incident when tailoring risk management policies. This paper reviews the quantitative evidence available for both cybercrime victimi-sation and cyber risk likelihood, providing a bridge between the academic fields of criminology and cybersecurity. We extract estimates from 48 studies conducted by a mix of academics, statistical institutes, and cybersecurity vendors using a range of data sources including victim surveys, case-control studies, and the insurance market. The victimisation estimates are categorised into: cyber attack; malware; ran-somware; fraudulent email; online banking fraud; online sales fraud; unauthorised access; Denial of Service; and identity theft. For each category, we display all estimates in the years 2017–2021. Our review shows: (i) firms face higher victimisation rates than individuals, which increases in the number of employees; (ii) global surveys reveal a consistent relative ranking of countries in ransomware victimisation; (iii) although trends could be identified within studies that collect longitudinal data, these trends tended to contradict each other when compared across studies; and (iv) broad categories with unclear consequences (e.g. malware and fraudulent emails) displayed higher variance and average values than categories associated with specific outcomes (e.g. identity theft or online banking fraud). We discuss the outlook for cybercrime and cyber risk research.",2022 IEEE European Symposium on Security and Privacy Workshops (EuroS&PW),6,2.1,10.1109/eurospw55150.2022.00021,https://doi.org/10.1109/eurospw55150.2022.00021,,TRUE,"{'url': 'https://www.pure.ed.ac.uk/ws/files/283910075/Reviewing_Estimates_WOODS_DOA08042022_AFV.pdf', 'status': 'GOLD'}",3d529fe186a69fbc3a238ddd916ee887675f95c0,"- **Provides victimization estimates and likelihood metrics across several cybercrime types.**  
- Reviews data from 48 studies, categorizing victimization rates for types like ransomware, fraud, and identity theft from 2017–2021.  
- Focuses on prevalence metrics; does not evaluate countermeasure effectiveness or generalizable frameworks across all types of cybercrime."
9,62.7,2020 Cybercrime Economic Costs: No Measure No Solution,2015,24/08/2015,"J. Armin, Bryn Thompson, Davide Ariu, G. Giacinto, F. Roli, P. Kijewski","Governments needs reliable data on crime in order to both devise adequate policies, and allocate the correct revenues so that the measures are cost-effective, i.e., The money spent in prevention, detection, and handling of security incidents is balanced with a decrease in losses from offences. The analysis of the actual scenario of government actions in cyber security shows that the availability of multiple contrasting figures on the impact of cyber-attacks is holding back the adoption of policies for cyber space as their cost-effectiveness cannot be clearly assessed. The most relevant literature on the topic is reviewed to highlight the research gaps and to determine the related future research issues that need addressing to provide a solid ground for future legislative and regulatory actions at national and international levels.","2015 10th International Conference on Availability, Reliability and Security",48,5,10.1109/ARES.2015.56,https://doi.org/10.1109/ARES.2015.56,,TRUE,"{'url': 'https://figshare.com/articles/journal_contribution/2020_Cybercrime_Economic_Costs_No_measure_No_solution/1554899/1/files/2286817.pdf', 'status': 'GOLD'}",5785c1f22c206c7bebeb823385d4837005517182,"- **Provides**: Analysis of gaps in cybercrime impact metrics and cost-effectiveness evaluation.  
- **Expands**: Highlights the lack of reliable data hindering policy-making and reviews literature on economic metrics related to cybercrime.  
- **Relevance**: Focuses broadly on cybercrime metrics, but lacks direct discussion of countermeasure effectiveness or generalizable frameworks for all cybercrime types.  "
10,57.4,Measuring the changing cost of cybercrime,2019,03/06/2019,"Ross J. Anderson, Chris J. Barton, Rainer Bölme, R. Clayton, C. Gañán, Tommaso Grasso, M. Levi, T. Moore, Marie Vasek","In 2012 we presented the rst systematic study of the costs of cybercrime. In this paper, 
we report what has changed in the seven years since. The period has seen major platform 
evolution, with the mobile phone replacing the PC and laptop as the consumer terminal 
of choice, with Android replacing Windows, and with many services moving to the cloud. 
The use of social networks has become extremely widespread. The executive summary is 
that about half of all property crime, by volume and by value, is now online. We hypothesised 
in 2012 that this might be so; it is now established by multiple victimisation studies. 
Many cybercrime patterns appear to be fairly stable, but there are some interesting changes. 
Payment fraud, for example, has more than doubled in value but has fallen slightly as a 
proportion of payment value; the payment system has simply become bigger, and slightly 
more ecient. Several new cybercrimes are signicant enough to mention, including business 
email compromise and crimes involving cryptocurrencies. The move to the cloud means that 
system misconguration may now be responsible for as many breaches as phishing. Some 
companies have suered large losses as a side-eect of denial-of-service worms released by 
state actors, such as NotPetya; we have to take a view on whether they count as cybercrime. 
The infrastructure supporting cybercrime, such as botnets, continues to evolve, and specic 
crimes such as premium-rate phone scams have evolved some interesting variants. The overall 
picture is the same as in 2012: traditional oences that are now technically `computer 
crimes' such as tax and welfare fraud cost the typical citizen in the low hundreds of Euros/ 
dollars a year; payment frauds and similar oences, where the modus operandi has been 
completely changed by computers, cost in the tens; while the new computer crimes cost in 
the tens of cents. Defending against the platforms used to support the latter two types of 
crime cost citizens in the tens of dollars. Our conclusions remain broadly the same as in 2012: 
it would be economically rational to spend less in anticipation of cybercrime (on antivirus, 
rewalls, etc.) and more on response. We are particularly bad at prosecuting criminals who 
operate infrastructure that other wrongdoers exploit. Given the growing realisation among 
policymakers that crime hasn't been falling over the past decade, merely moving online, we 
might reasonably hope for better funded and coordinated law-enforcement action.",,100,17.1,10.17863/CAM.41598,https://doi.org/10.17863/CAM.41598,,FALSE,,b401cbd749835a637cc4903a48b18c6699cf8787,"- **Provides updated insights on the cost-and-volume metrics of cybercrime.**  
- Expands on changes in platforms, attack methods, and prevalence trends, linking metrics to victimization studies and economic impacts.  
- Focuses on specific cybercrime types (e.g., payment fraud, email compromise), limiting generalizability across all types of cybercrime.  "
